,music,pets,flying,storm,darkness,heights,spiders,snakes,rats,ageing,dangerous_dogs,fear_of_public_speaking,smoking,alcohol,parents'_advice,internet_usage,branded_clothing,gender,left_-_right_handed,only_child
0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,5,3.0,1.0,3.0,2.0,never smoked,drink a lot,4.0,few hours a day,5.0,female,right handed,no
1,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1,1.0,3.0,1.0,4.0,never smoked,drink a lot,2.0,few hours a day,1.0,female,right handed,no
2,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,tried smoking,drink a lot,3.0,few hours a day,1.0,female,right handed,no
3,5.0,1.0,2.0,1.0,1.0,3.0,5.0,5,5.0,4.0,5.0,5.0,former smoker,drink a lot,2.0,most of the day,3.0,female,right handed,yes
4,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,4.0,3.0,tried smoking,social drinker,3.0,few hours a day,4.0,female,right handed,no
5,5.0,2.0,3.0,2.0,2.0,2.0,1.0,2,2.0,1.0,1.0,3.0,never smoked,never,3.0,few hours a day,3.0,male,right handed,no
6,5.0,5.0,1.0,3.0,2.0,1.0,1.0,5,1.0,4.0,1.0,1.0,tried smoking,social drinker,4.0,less than an hour a day,1.0,female,right handed,no
7,5.0,5.0,3.0,2.0,4.0,3.0,1.0,5,3.0,1.0,2.0,4.0,current smoker,drink a lot,3.0,few hours a day,4.0,male,right handed,no
8,5.0,1.0,2.0,3.0,1.0,5.0,5.0,5,2.0,2.0,3.0,4.0,tried smoking,social drinker,4.0,few hours a day,3.0,female,right handed,no
9,5.0,2.0,4.0,5.0,4.0,5.0,3.0,4,4.0,3.0,5.0,3.0,never smoked,drink a lot,3.0,few hours a day,4.0,female,right handed,no
10,5.0,5.0,1.0,1.0,2.0,2.0,2.0,1,1.0,1.0,4.0,2.0,current smoker,social drinker,4.0,less than an hour a day,2.0,female,left handed,no
11,5.0,1.0,4.0,1.0,1.0,3.0,5.0,5,5.0,5.0,5.0,5.0,tried smoking,never,4.0,few hours a day,1.0,female,right handed,no
12,5.0,2.0,1.0,1.0,1.0,1.0,1.0,3,1.0,5.0,2.0,2.0,tried smoking,social drinker,4.0,few hours a day,1.0,female,right handed,no
13,5.0,5.0,2.0,3.0,3.0,4.0,3.0,4,3.0,2.0,1.0,3.0,never smoked,social drinker,3.0,few hours a day,2.0,female,right handed,no
14,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5,1.0,5.0,5.0,3.0,current smoker,social drinker,4.0,most of the day,1.0,female,right handed,no
15,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,former smoker,social drinker,4.0,few hours a day,1.0,male,right handed,yes
16,5.0,5.0,1.0,3.0,5.0,4.0,5.0,3,1.0,2.0,5.0,4.0,current smoker,drink a lot,3.0,few hours a day,4.0,female,right handed,no
17,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4,1.0,5.0,5.0,3.0,tried smoking,social drinker,1.0,few hours a day,2.0,female,right handed,no
18,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,tried smoking,social drinker,3.0,few hours a day,4.0,male,right handed,no
19,5.0,1.0,3.0,2.0,2.0,4.0,4.0,2,2.0,2.0,2.0,3.0,former smoker,drink a lot,2.0,few hours a day,4.0,male,left handed,no
20,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,2.0,never smoked,never,3.0,few hours a day,3.0,male,right handed,no
21,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,tried smoking,social drinker,3.0,few hours a day,1.0,male,left handed,no
22,5.0,5.0,1.0,2.0,1.0,1.0,5.0,5,3.0,1.0,3.0,3.0,tried smoking,social drinker,3.0,few hours a day,1.0,female,right handed,no
23,5.0,5.0,2.0,4.0,5.0,3.0,3.0,3,2.0,3.0,3.0,3.0,tried smoking,social drinker,2.0,few hours a day,4.0,female,right handed,no
24,5.0,3.0,1.0,1.0,2.0,1.0,5.0,5,4.0,5.0,5.0,5.0,tried smoking,never,4.0,few hours a day,5.0,female,right handed,no
25,5.0,3.0,3.0,2.0,2.0,3.0,5.0,2,1.0,4.0,4.0,2.0,tried smoking,social drinker,4.0,few hours a day,1.0,female,right handed,yes
26,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2,1.0,2.0,2.0,3.0,tried smoking,social drinker,5.0,few hours a day,4.0,female,left handed,no
27,4.0,5.0,3.0,5.0,2.0,2.0,5.0,5,1.0,4.0,1.0,2.0,never smoked,social drinker,4.0,few hours a day,3.0,female,right handed,no
